epoch,train_loss,val_loss,train_mae,val_mae
1,0.2736380637075886,0.2790305850720158,0.5820490177223852,0.5830577936958948
2,0.2086269469741516,0.21920800645230962,0.4864436457380858,0.5011434387664738
3,0.17415614821626818,0.17887411037401849,0.43235388828618,0.43577199899778324
4,0.15626092666371108,0.16611844349934832,0.40358902792263823,0.4187675030766412
5,0.14765103493766601,0.16043981683909628,0.388842729877307,0.4084853780570746
6,0.144078365958055,0.15469449997656767,0.3829149718446916,0.39390759570814704
7,0.13998740655134442,0.14892160717569525,0.3758667603806826,0.38782875605182165
8,0.1367695271667254,0.14819038613944316,0.37043422540065446,0.38597640523584603
9,0.1342888268699532,0.14565312054235194,0.36736811898998306,0.3812886863548369
10,0.13118348923865655,0.14215026773722705,0.3613623584917958,0.37441438622495926
11,0.12957379049188847,0.14087312111705763,0.3578978154839127,0.3738858299482099
12,0.1265967233173323,0.14397886120901066,0.35360790168131395,0.3781378723094226
13,0.12465432183448613,0.13800653339229402,0.3508564362091654,0.37130091794355485
14,0.12279683805268735,0.1352978874590209,0.34755354766025387,0.3664170053260287
15,0.12096307061358999,0.13478392214247234,0.3445981234558811,0.36221400368266793
16,0.11896976160970213,0.1385716656430515,0.3415711282477427,0.3687828982921447
17,0.11734349213424032,0.13005583395663908,0.33933567910317225,0.3504922938205158
18,0.11654745341855227,0.13548453068042404,0.33875589904811476,0.3618514226060388
19,0.11477445895340646,0.12958838559277522,0.3351606407786249,0.3502369146644626
20,0.11264686958852337,0.12791690108591877,0.3317640199229162,0.3482731229571673
21,0.11158595206738615,0.1265900731972387,0.3302102036287506,0.343301424698525
22,0.1110483468977157,0.1299329500363096,0.32983519999171573,0.3505876004075933
23,0.10931492852528597,0.1281526482388665,0.326338030240244,0.3498007606875489
24,0.10809241597846547,0.1327940924826561,0.32561756367516714,0.3573024946017216
25,0.1075357468293255,0.12675055381004735,0.32429070012659356,0.34992615978218294
26,0.10275697107011282,0.12496098112121203,0.3165294114010205,0.3402078564418549
27,0.10087619351759457,0.1283969862101514,0.31252109335449274,0.34744537638342576
28,0.10026716556067629,0.12455695493348817,0.311598491948355,0.3411089779274956
29,0.09893293118767488,0.12222224407529052,0.3096892348976451,0.3371543210293173
30,0.0982549143638102,0.12346142716429032,0.30857680144393346,0.3383438165173665
31,0.09777615473647674,0.12316934757742803,0.30757505014168635,0.3371257467131735
32,0.09740389263207691,0.12574003227221134,0.3073686015858163,0.3438725752249515
33,0.09586812295328068,0.12840051915812103,0.30533031426993884,0.3452690407124529
34,0.09410669989781086,0.12130115565360922,0.30102814461182537,0.33455437740634847
35,0.09317359206949558,0.12081159297017073,0.2990799000094325,0.3328178370866875
36,0.09254552713203781,0.12075273778959333,0.29967379487756207,0.33300264890445463
37,0.09220496955796349,0.12061559162026529,0.2983212668959329,0.3312522044950573
38,0.09213212050202799,0.1217814513425416,0.2975020768067764,0.33493699636005897
39,0.09125881039613742,0.1236489062899112,0.29689555334847456,0.3381979536337094
40,0.09070805397155424,0.12510305970774363,0.2957193450359653,0.33865025847663144
